key_hex,key_decoded,value_double,value_int_if_integer,state_type
43000000000580054BA12E00,byte:67,161.0,161,count_or_avg
44000000000580054B032E00,byte:68,3.0,3,count_or_avg
44000000000580054B772E00,byte:68,119.0,119,count_or_avg
45000000000580054BBD2E00,byte:69,189.0,189,count_or_avg
46000000000580054B752E00,byte:70,117.0,117,count_or_avg
46000000000580054B782E00,byte:70,120.0,120,count_or_avg
48000000000580054B0F2E00,byte:72,15.0,15,count_or_avg
48000000000580054B4B2E00,byte:72,75.0,75,count_or_avg
48000000000580054B9D2E00,byte:72,157.0,157,count_or_avg
49000000000580054B0A2E00,byte:73,10.0,10,count_or_avg
49000000000580054B5A2E00,byte:73,90.0,90,count_or_avg
49000000000580054B9F2E00,byte:73,159.0,159,count_or_avg
49000000000580054BA52E00,byte:73,165.0,165,count_or_avg
49000000000580054BC52E00,byte:73,197.0,197,count_or_avg
4A000000000580054B522E00,byte:74,82.0,82,count_or_avg
4A000000000580054B992E00,byte:74,153.0,153,count_or_avg
4A000000000580054B9C2E00,byte:74,156.0,156,count_or_avg
4A000000000580054BC02E00,byte:74,192.0,192,count_or_avg
4B000000000580054B642E00,byte:75,100.0,100,count_or_avg
4B000000000580054B882E00,byte:75,136.0,136,count_or_avg
4C000000000580054B062E00,byte:76,6.0,6,count_or_avg
4C000000000580054B552E00,byte:76,85.0,85,count_or_avg
4D000000000580054BBF2E00,byte:77,191.0,191,count_or_avg
4E000000000580054B832E00,byte:78,131.0,131,count_or_avg
4F000000000580054B0C2E00,byte:79,12.0,12,count_or_avg
4F000000000580054B572E00,byte:79,87.0,87,count_or_avg
4F000000000580054BB12E00,byte:79,177.0,177,count_or_avg
51000000000580054B222E00,byte:81,34.0,34,count_or_avg
51000000000580054B6B2E00,byte:81,107.0,107,count_or_avg
51000000000580054B842E00,byte:81,132.0,132,count_or_avg
52000000000580054B9E2E00,byte:82,158.0,158,count_or_avg
53000000000580054BC32E00,byte:83,195.0,195,count_or_avg
54000000000580054B1C2E00,byte:84,28.0,28,count_or_avg
54000000000580054B5D2E00,byte:84,93.0,93,count_or_avg
54000000000580054B942E00,byte:84,148.0,148,count_or_avg
58000000000580054B7A2E00,byte:88,122.0,122,count_or_avg
59000000000580054B432E00,byte:89,67.0,67,count_or_avg
59000000000580054B4A2E00,byte:89,74.0,74,count_or_avg
59000000000580054BAF2E00,byte:89,175.0,175,count_or_avg
5A000000000580054B342E00,byte:90,52.0,52,count_or_avg
5A000000000580054B672E00,byte:90,103.0,103,count_or_avg
5C000000000580054B3B2E00,byte:92,59.0,59,count_or_avg
5C000000000580054B492E00,byte:92,73.0,73,count_or_avg
5C000000000580054B4C2E00,byte:92,76.0,76,count_or_avg
5C000000000580054B6F2E00,byte:92,111.0,111,count_or_avg
5F000000000580054BC22E00,byte:95,194.0,194,count_or_avg
60000000000580054B352E00,byte:96,53.0,53,count_or_avg
61000000000580054B4D2E00,byte:97,77.0,77,count_or_avg
61000000000580054BC42E00,byte:97,196.0,196,count_or_avg
63000000000580054B602E00,byte:99,96.0,96,count_or_avg
64000000000580054B1D2E00,byte:100,29.0,29,count_or_avg
64000000000580054B532E00,byte:100,83.0,83,count_or_avg
65000000000580054B392E00,byte:101,57.0,57,count_or_avg
67000000000580054B3C2E00,byte:103,60.0,60,count_or_avg
68000000000580054B182E00,byte:104,24.0,24,count_or_avg
68000000000580054B1F2E00,byte:104,31.0,31,count_or_avg
68000000000580054B912E00,byte:104,145.0,145,count_or_avg
69000000000580054B312E00,byte:105,49.0,49,count_or_avg
6A000000000580054B8C2E00,byte:106,140.0,140,count_or_avg
6B000000000580054B272E00,byte:107,39.0,39,count_or_avg
6C000000000580054B172E00,byte:108,23.0,23,count_or_avg
6C000000000580054B242E00,byte:108,36.0,36,count_or_avg
6D000000000580054B2F2E00,byte:109,47.0,47,count_or_avg
6D000000000580054B622E00,byte:109,98.0,98,count_or_avg
6D000000000580054B652E00,byte:109,101.0,101,count_or_avg
6D000000000580054B762E00,byte:109,118.0,118,count_or_avg
6D000000000580054BC72E00,byte:109,199.0,199,count_or_avg
6E000000000580054B1E2E00,byte:110,30.0,30,count_or_avg
6E000000000580054B2C2E00,byte:110,44.0,44,count_or_avg
71000000000580054B8A2E00,byte:113,138.0,138,count_or_avg
72000000000580054B4E2E00,byte:114,78.0,78,count_or_avg
73000000000580054BB02E00,byte:115,176.0,176,count_or_avg
73000000000580054BC12E00,byte:115,193.0,193,count_or_avg
75000000000580054B0D2E00,byte:117,13.0,13,count_or_avg
75000000000580054B412E00,byte:117,65.0,65,count_or_avg
75000000000580054B6C2E00,byte:117,108.0,108,count_or_avg
75000000000580054B6E2E00,byte:117,110.0,110,count_or_avg
77000000000580054B422E00,byte:119,66.0,66,count_or_avg
77000000000580054B7E2E00,byte:119,126.0,126,count_or_avg
78000000000580054B6A2E00,byte:120,106.0,106,count_or_avg
78000000000580054BAB2E00,byte:120,171.0,171,count_or_avg
79000000000580054B0B2E00,byte:121,11.0,11,count_or_avg
79000000000580054B662E00,byte:121,102.0,102,count_or_avg
79000000000580054B862E00,byte:121,134.0,134,count_or_avg
7A000000000580054B442E00,byte:122,68.0,68,count_or_avg
7A000000000580054B8E2E00,byte:122,142.0,142,count_or_avg
7C000000000580054B102E00,byte:124,16.0,16,count_or_avg
7C000000000580054B232E00,byte:124,35.0,35,count_or_avg
7C000000000580054B3E2E00,byte:124,62.0,62,count_or_avg
7C000000000580054B8F2E00,byte:124,143.0,143,count_or_avg
7F000000000580054B202E00,byte:127,32.0,32,count_or_avg
7F000000000580054B5E2E00,byte:127,94.0,94,count_or_avg
